OrderId,Property Id,Property Name,Parent Property Id,Parent Property Name,BBL - 10 digits,"NYC Borough, Block and Lot (BBL) self-reported",NYC Building Identification Number (BIN),Address 1 (self-reported),Address 2,Postal Code,Street Number,Street Name,Borough,DOF Gross Floor Area,Primary Property Type - Self Selected,List of All Property Use Types at Property,Largest Property Use Type,Largest Property Use Type - Gross Floor Area (ft²),2nd Largest Property Use Type,2nd Largest Property Use - Gross Floor Area (ft²),3rd Largest Property Use Type,3rd Largest Property Use Type - Gross Floor Area (ft²),Year Built,Number of Buildings - Self-reported,Occupancy,Metered Areas (Energy),Metered Areas  (Water),Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Weather Normalized Source EUI (kBtu/ft²),Fuel Oil #1 Use (kBtu),Fuel Oil #2 Use (kBtu),Fuel Oil #4 Use (kBtu),Fuel Oil #5 & 6 Use (kBtu),Diesel #2 Use (kBtu),District Steam Use (kBtu),Natural Gas Use (kBtu),Weather Normalized Site Natural Gas Use (therms),Electricity Use - Grid Purchase (kBtu),Weather Normalized Site Electricity (kWh),Total GHG Emissions (Metric Tons CO2e),Direct GHG Emissions (Metric Tons CO2e),Indirect GHG Emissions (Metric Tons CO2e),Property GFA - Self-Reported (ft²),Water Use (All Water Sources) (kgal),Water Intensity (All Water Sources) (gal/ft²),Source EUI (kBtu/ft²),Release Date,Water Required?,DOF Benchmarking Submission Status,Latitude,Longitude,Community Board,Council District,Census Tract,NTA
2741,4519309,Salisbury Hotel: 123 West 57th Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1010100015,1-01010-0015,1023724,123 West 57th Street,Not Available,10019,123,WEST 57 STREET,Manhattan,191261,Hotel,Hotel,Hotel,225000,Not Available,Not Available,Not Available,Not Available,1930,1,100,Whole Building,Not Available,77.6,81.5,6.5,0.1,140.4,Not Available,Not Available,Not Available,Not Available,Not Available,1.11E+07,1193200,11932,5150754.9,1468032.8,1279.7,63.4,1216.3,225000,Not Available,Not Available,136.9,05/01/2017 01:22:10 PM,No,In Compliance,40.764705,-73.978084,5,4,137,Midtown-Midtown South                                                      
2745,4527949,ABC REALTY 140 W 58th St.,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1010107501,1-01010-7501,1023743,140 West 58th Street,Not Available,10019,140,WEST 58 STREET,Manhattan,51388,Multifamily Housing,"Medical Office, Multifamily Housing",Multifamily Housing,43569,Medical Office,24000,Not Available,Not Available,1930,1,95,Whole Building,Whole Building,90.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3335207.2,Not Available,Not Available,Not Available,1566121,Not Available,1210879.2,Not Available,446.7,334.3,112.4,67569,3134.3,46.39,130.5,05/01/2017 07:43:09 PM,No,In Compliance,40.765512,-73.977947,5,4,137,Midtown-Midtown South                                                      
2750,4037223,145 W. 58th Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1010110013,1-01011-0013,1023751,145 W. 58TH Street,Not Available,10019,145,WEST 58 STREET,Manhattan,122813,Multifamily Housing,Multifamily Housing,Multifamily Housing,122813,Not Available,Not Available,Not Available,Not Available,1925,1,95,Whole Building,Whole Building,67.5,68.6,7.6,0,124.9,Not Available,Not Available,4307145.7,Not Available,Not Available,Not Available,650651.5,6079.6,3333543.8,937422.4,668.2,358.8,309.4,122813,4234.7,34.48,126.2,04/26/2017 12:13:35 PM,Yes,In Compliance,40.765561,-73.978019,5,4,137,Midtown-Midtown South                                                      
2755,2662181,Hampshire House,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1010110052,1-01011-0052,1023759,150 Central Park South,Not Available,10019,150,CENTRAL PARK SOUTH,Manhattan,307549,Multifamily Housing,"Bank Branch, Multifamily Housing, Other",Multifamily Housing,317234,Bank Branch,12766,Other,8000,1940,1,100,Whole Building,Whole Building,72.3,71.7,8.9,0,137.2,Not Available,1.38E+07,Not Available,Not Available,Not Available,Not Available,122800,1290.9,10502330.2,3015735,2005.2,1030.6,974.6,338000,8172,24.18,139.2,05/01/2017 11:54:27 PM,No,In Compliance,40.766346,-73.977842,5,4,137,Midtown-Midtown South                                                      
2764,2684811,NEW YORK TIMES BUILDING,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1010127501,1-01012-7501,1087186,620 EIGHTH AVENUE,Not Available,10018,620,8 AVENUE,Manhattan,1266887,Office,"Data Center, Food Service, Office, Other, Social/Meeting Hall",Office,1459960,Social/Meeting Hall,24742,Food Service,16695,2007,1,100,Whole Building,Whole Building,140,142.2,16.6,0.6,270.7,Not Available,Not Available,Not Available,Not Available,283590,2.77E+07,98046006,980460.1,86607932.2,2.52E+07,15101.9,5228.7,9873.1,1516107,31270.8,20.6,269,04/27/2017 09:33:21 AM,No,In Compliance,40.756039,-73.990651,5,3,113,Midtown-Midtown South                                                      
2768,2785224,11 Times Square,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1010137501,1010137501,1087978,640 8th Ave,Not Available,10036,640,8 AVENUE,Manhattan,991439,Office,"Financial Office, Food Sales, Office, Other, Parking, Retail Store",Office,1090408,Retail Store,31820,Other,8320,2011,1,85,Whole Building,Whole Building,99.2,101.8,20.4,0.3,252.3,Not Available,1345500,Not Available,Not Available,Not Available,Not Available,3.15E+07,349793.2,79779622.5,2.32E+07,9178.9,1775.4,7403.5,1135441,21119.2,18.6,251,04/07/2017 03:31:14 PM,No,In Compliance,40.756664,-73.990193,5,3,113,Midtown-Midtown South                                                      
2770,1370307,3 Times Square Associates LLC,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1010140033,1010140033,1024686,3 Times Square,Not Available,10001,3,TIMES SQUARE,Manhattan,855000,Office,"Financial Office, Non-Refrigerated Warehouse, Office, Restaurant, Retail Store",Office,772197,Non-Refrigerated Warehouse,29262,Retail Store,23456,1998,1,100,Whole Building,Whole Building,171.2,169.7,33.6,0.4,419.2,Not Available,0,Not Available,Not Available,Not Available,7546926.9,3.97E+07,377336.8,96890642.4,28252808,11600.4,2107.9,9492.5,841709,21001,24.95,421.7,04/28/2017 12:44:25 PM,Yes,In Compliance,40.756376,-73.986713,5,3,119,Midtown-Midtown South                                                      
2790,4926903,1600 Broadway,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1010207502,1010207502,1087187,1600 Broadway,Not Available,10019,1600,BROADWAY,Manhattan,195190,Multifamily Housing,"Multifamily Housing, Retail Store",Multifamily Housing,200894,Retail Store,30034,Not Available,Not Available,2006,1,100,Whole Building,Whole Building,83.8,85.1,19,0.2,225.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4145742.1,46560.5,15214347.8,4394878.8,1632.1,220.2,1411.9,230928,7841.8,33.96,225.7,04/17/2017 03:38:00 PM,No,In Compliance,40.76035,-73.984713,5,4,125,Midtown-Midtown South                                                      
2794,4952480,CitizenM New York City Times Square,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1010210050,1-01021-0050,1024805,218 West 50th Street,Not Available,10019,218,WEST 50 STREET,Manhattan,84577,Hotel,"Hotel, Restaurant",Hotel,81650,Restaurant,1556,Not Available,Not Available,2012,1,100,Whole Building,Whole Building,126.7,129.1,21.6,0.6,289.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4408082.8,46100.7,6134438.9,1797901,803.4,234.1,569.3,83206,7540.4,90.62,287.1,04/06/2017 05:23:51 PM,Yes,In Compliance,40.761613,-73.984521,5,3,125,Midtown-Midtown South                                                      
2795,2781523,The Pearl Hotel,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1010217501,1010217501,1088603,233 West 49th Street,Not Available,10019,233,WEST 49 STREET,Manhattan,63879,Hotel,Hotel,Hotel,63879,Not Available,Not Available,Not Available,Not Available,2010,1,100,Whole Building,Not Available,102.3,104,15.3,0.5,218.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3135525.6,32980.5,3400535.8,980425.9,482.1,166.5,315.6,63879,5005.4,78.36,218.7,04/14/2017 02:52:19 PM,No,In Compliance,40.761102,-73.985218,5,3,125,Midtown-Midtown South                                                      
2803,2668927,888,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1010240001,1-01024-0001,1024825,888 Eighth Avenue,Not Available,10019,870,8 AVENUE,Manhattan,380441,Multifamily Housing,"Multifamily Housing, Parking, Restaurant, Retail Store",Multifamily Housing,448000,Parking,30000,Retail Store,6960,1960,1,100,Whole Building,Whole Building,65.9,65.6,5.5,0.5,108.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.15E+07,215080.2,8713470.3,2520126.8,1951,1142.4,808.6,458635,Not Available,Not Available,108.9,04/27/2017 06:23:03 PM,Yes,In Compliance,40.763636,-73.985113,5,3,131,Midtown-Midtown South                                                      
2805,2712464,SL Green Realty Corporation 810 Seventh Avenue,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1010240038,1010240038,1024828,810 Seventh Avenue,Not Available,10019,1680,BROADWAY,Manhattan,701095,Office,"Bank Branch, Office, Other - Entertainment/Public Assembly, Outpatient Rehabilitation/Physical Therapy, Parking",Office,654270,Parking,44201,Other - Entertainment/Public Assembly,23362,1969,1,100,Whole Building,Whole Building,120.8,121.4,16.1,0,252.5,Not Available,Not Available,Not Available,Not Available,Not Available,4.51E+07,890275,8902.8,38445875.6,1.13E+07,6610.6,47.3,6563.3,698918,14934.1,21.37,251.7,04/18/2017 11:53:23 PM,No,In Compliance,40.763034,-73.983005,5,4,131,Midtown-Midtown South                                                      
2807,2921576,CBS  Ed Sullivan Theater 1697 Broadway,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1010250043,1010250043,1024838,Ed Sullivan Theater 1697 Broadway,Not Available,10019,1697,BROADWAY,Manhattan,96067,Office,Office,Office,105950,Not Available,Not Available,Not Available,Not Available,1927,1,100,Whole Building,Whole Building,97.3,100.6,20.4,Not Available,256,Not Available,Not Available,Not Available,Not Available,Not Available,2927389.9,Not Available,Not Available,7380838.1,2163199.6,879.3,0,879.3,105950,2800,26.43,252,06/12/2017 05:20:57 PM,No,In Compliance,40.763676,-73.982665,5,3,131,Midtown-Midtown South                                                      
2809,2796780,254 W 54th Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1010250058,1-01025-0058,1024843,254 W 54th Street,Not Available,10019,254,WEST 54 STREET,Manhattan,60000,Office,Office,Office,72000,Not Available,Not Available,Not Available,Not Available,1926,1,100,Whole Building,Not Available,96.6,103.4,12.6,0.3,203.5,Not Available,Not Available,Not Available,Not Available,Not Available,2012082.7,1852100.1,19432.8,3094489.5,906942.9,519.1,98.4,420.8,72000,Not Available,Not Available,195.6,04/27/2017 03:46:54 PM,Yes,In Compliance,40.764338,-73.983217,5,3,131,Midtown-Midtown South                                                      
2810,3540249,Orsid - 200 West 54th St,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1010257501,1-01025-7501,1076200,200 West 54th Street,Not Available,10019,828,7 AVENUE,Manhattan,142081,Multifamily Housing,"Multifamily Housing, Retail Store, Self-Storage Facility",Multifamily Housing,134167,Retail Store,8543,Self-Storage Facility,4294,1916,1,100,Whole Building,Not Available,79.2,84.6,5.9,Not Available,128.5,Not Available,8598752.5,Not Available,0,Not Available,Not Available,Not Available,Not Available,3036977.4,869385.9,919.9,638.1,281.8,147004,8588.4,58.42,123.9,05/01/2017 02:58:14 PM,Yes,In Compliance,40.763177,-73.981752,5,4,131,Midtown-Midtown South                                                      
2811,3112780,Moinian - 900 Eighth Ave,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1010257502,1-01025-7502,1024832,900 Eighth Avenue,Not Available,10019,890,8 AVENUE,Manhattan,435366,Multifamily Housing,"Multifamily Housing, Parking, Retail Store",Multifamily Housing,352274,Parking,81451,Retail Store,14702,2003,1,100,Whole Building,Not Available,142,145.6,10.4,1.1,226.9,Not Available,Not Available,0,Not Available,Not Available,Not Available,3.86E+07,404127.1,13474490.5,3812390,3301.7,2051.2,1250.4,366976,21466.8,58.5,225.8,05/01/2017 02:58:14 PM,No,In Compliance,40.764261,-73.984658,5,3,131,Midtown-Midtown South                                                      
2820,4947027,Park Central Hotel,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1010277501,1-01027-7501,1024878,870 Seventh Ave,Not Available,10019,870,7 AVENUE,Manhattan,1050872,Hotel,Hotel,Hotel,1050872,Not Available,Not Available,Not Available,Not Available,1925,1,95,Whole Building,Whole Building,60.8,62.9,8.6,0,132.5,Not Available,Not Available,Not Available,Not Available,Not Available,3.20E+07,569900,5699,31392037.2,9050248.3,5067,30.3,5036.7,1050872,54671.4,52.02,131,04/03/2017 09:05:19 AM,No,In Compliance,40.764521,-73.980773,5,4,137,Midtown-Midtown South                                                      
2821,3114429,Park Imperial,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1010277504,1-01027-7504,1086135,230 W 56th Street,Not Available,10019,230,WEST 56 STREET,Manhattan,200000,Multifamily Housing,Multifamily Housing,Multifamily Housing,243012,Not Available,Not Available,Not Available,Not Available,2003,1,100,Whole Building,Whole Building,80.2,82.5,10,0,165,Not Available,Not Available,Not Available,Not Available,Not Available,1.09E+07,104218.2,1080.3,8460023,2418163.7,1516.4,5.5,1510.8,243012,7266.6,29.9,163.9,04/25/2017 08:06:47 PM,No,In Compliance,40.765595,-73.982325,5,3,137,Midtown-Midtown South                                                      
2822,4491465,211 W. 56th St / Carnegie Mews - Compliance,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1010280017,1-01028-0017,1024894,211 West 56th Street,Not Available,10019,1752,BROADWAY,Manhattan,311689,Multifamily Housing,Multifamily Housing,Multifamily Housing,344775,Not Available,Not Available,Not Available,Not Available,1977,1,100,Whole Building,Not Available,112.5,118.1,6.5,1,170.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,30871919,330717.6,7921046.2,2238596.8,2374.8,1639.8,735.1,344775,Not Available,Not Available,166.2,04/30/2017 12:55:35 PM,No,In Compliance,40.765584,-73.981957,5,4,137,Midtown-Midtown South                                                      
2823,1273033,888 Seventh Ave,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1010280029,1010280029,1024895,888 Seventh Ave,Not Available,10019,888,7 AVENUE,Manhattan,866359,Office,"Office, Parking, Restaurant",Office,833901,Parking,72752,Restaurant,14109,1970,1,100,Whole Building,Whole Building,94.4,98.6,16.9,0,230.1,Not Available,Not Available,Not Available,Not Available,Not Available,3.12E+07,24987.1,249.9,48781006.5,1.43E+07,6602.4,1.3,6601,848010,51159.2,60.33,225,04/28/2017 05:25:41 PM,Yes,In Compliance,40.765015,-73.980416,5,4,137,Midtown-Midtown South                                                      
2824,4409996,Feil - 200 West 57th Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1010280033,1-01028-0033,1024896,200 West 57th Street,Not Available,10019,894,7 AVENUE,Manhattan,124782,Office,Office,Office,184405,Not Available,Not Available,Not Available,Not Available,1917,1,100,Whole Building,Not Available,90.1,93.7,17.2,0.4,220.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5627807.5,64868.2,10984597.6,3164818.6,1318.3,298.9,1019.4,184405,Not Available,Not Available,219.1,05/01/2017 02:58:14 PM,Yes,In Compliance,40.765219,-73.980268,5,4,137,Midtown-Midtown South                                                      
2826,1847014,1755 Broadway & 235 W 56th St,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1010287501,1010287501,1070014,1775 Broadway & 235 W 56th St,Not Available,10019,235,WEST 56 STREET,Manhattan,729506,Multifamily Housing,"Multifamily Housing, Office",Multifamily Housing,348491,Office,267509,Not Available,Not Available,1985,1,100,Whole Building,Whole Building,88.1,91.1,11,0,181.7,Not Available,Not Available,Not Available,Not Available,Not Available,2.96E+07,1115081.9,11412.8,23601194.3,6753376.7,4212.3,59.2,4153.1,616000,Not Available,Not Available,179.9,04/21/2017 04:27:41 PM,No,In Compliance,40.765611,-73.982322,5,3,137,Midtown-Midtown South                                                      
2827,4593574,The Argonaut Building,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1010287502,1010287502,1024898,224 West 57th St,Not Available,10019,224,WEST 57 STREET,Manhattan,127647,Office,"Bank Branch, Office",Office,164754,Bank Branch,4662,Not Available,Not Available,1909,1,95,Whole Building,Whole Building,61,63.9,13.1,0.1,162,Not Available,Not Available,Not Available,Not Available,Not Available,1235343.2,1460370.8,17061.9,7643166,2222036.9,868.9,77.6,791.3,169416,Not Available,Not Available,159.5,02/23/2017 12:59:40 PM,Yes,In Compliance,40.765949,-73.981073,5,4,137,Midtown-Midtown South                                                      
2828,3527431,1776 Broadway,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1010290012,1-01029-0012,1024901,1776 Broadway,Not Available,10019,1776,BROADWAY,Manhattan,112100,Office,Office,Office,116443,Not Available,Not Available,Not Available,Not Available,1920,1,90,Whole Building,Whole Building,92.3,Not Available,10.6,Not Available,Not Available,Not Available,Not Available,6447457.7,Not Available,Not Available,Not Available,Not Available,Not Available,4299137,1233523.7,2206,485.4,1720.6,116443,1522.4,13.07,171.9,03/25/2017 11:34:53 AM,No,In Compliance,40.766481,-73.981809,5,4,137,Midtown-Midtown South                                                      
2830,2745652,Osborne Tenants Corp.,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1010290027,1010290027,1024903,205 West 57th Street,Not Available,10019,205,WEST 57 STREET,Manhattan,167076,Multifamily Housing,"Multifamily Housing, Restaurant, Retail Store",Multifamily Housing,167076,Retail Store,5800,Restaurant,2200,1885,1,100,Whole Building,Whole Building,95.4,94.9,9.2,0.2,163.3,Not Available,Not Available,7474382.6,Not Available,Not Available,Not Available,3661400.1,36614,5564685.6,1604275.9,1273.6,757.2,516.4,175076,Not Available,Not Available,164.9,04/28/2017 06:56:15 PM,No,In Compliance,40.765704,-73.980452,5,4,137,Midtown-Midtown South                                                      
2832,2972000,Saint Thomas Choir School,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1010290037,1010290037,1024905,202 West 58th Street,Not Available,10019,202,WEST 58 STREET,Manhattan,76883,K-12 School,"K-12 School, Residence Hall/Dormitory",K-12 School,49900,Residence Hall/Dormitory,26983,Not Available,Not Available,1987,1,100,Whole Building,Whole Building,70.1,73.3,8.9,0.4,140.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3003685.1,32955,2382460.5,685862,380.6,159.5,221.1,76883,1719,22.36,138.3,04/21/2017 02:35:43 PM,No,In Compliance,40.766352,-73.979932,5,4,137,Midtown-Midtown South                                                      
2844,2688177,351 W. 42nd St - Geffner House formerly Holland House,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1010330006,1-01033-0006,1024937,351 w. 42nd st.,Not Available,10036,351,WEST 42 STREET,Manhattan,107679,Residence Hall/Dormitory,"Fast Food Restaurant, Office, Residence Hall/Dormitory, Restaurant, Social/Meeting Hall",Residence Hall/Dormitory,100015,Office,5270,Social/Meeting Hall,2526,1929,1,100,Whole Building,Whole Building,115.4,123,11.4,0,207,Not Available,7880917.9,Not Available,Not Available,Not Available,Not Available,441873.8,4818.7,4412432.3,1254494.5,1017.8,608.3,409.5,110383,11015.8,99.8,201.8,05/01/2017 11:34:16 PM,Yes,In Compliance,40.757848,-73.991229,4,3,121,Clinton                                                                    
2852,2905563,321-44 Associates LLC,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1010350017,1-01035-0017,1080877;1080878;1080879,321 West 44th Street,Not Available,10036,315,WEST 44 STREET,Manhattan,181021,Office,"Office, Other, Restaurant",Office,211967,Restaurant,14724,Other,3546,1928,1,100,Whole Building,Whole Building,84.9,88.5,13.4,0,186.9,Not Available,7954043.7,Not Available,Not Available,Not Available,Not Available,843020.1,8430.2,10756691.1,3081868.2,1633.3,635,998.2,230237,Not Available,Not Available,185.4,04/26/2017 02:15:34 PM,No,In Compliance,40.758841,-73.989546,4,3,121,Clinton                                                                    
2858,3831085,(9306)(2) - 785 8th Ave,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1010387501,1-01038-7501,1087980,785 8th Ave,Not Available,10036,306,WEST 48 STREET,Manhattan,128578,Multifamily Housing,Multifamily Housing,Multifamily Housing,100000,Not Available,Not Available,Not Available,Not Available,1925,1,95,Whole Building,Whole Building,110,111.7,17.1,0.5,239.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5068458.3,53364.3,5932295.3,1709767,819.7,269.2,550.5,100000,5848.3,58.48,239.5,03/06/2017 10:32:26 AM,No,In Compliance,40.761262,-73.987572,4,3,127,Clinton                                                                    
2860,2665053,Abro - 300 West 49th Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1010390032,1-01039-0032,1025144,300 West 49th Street,Not Available,10019,799,8 AVENUE,Manhattan,95026,Multifamily Housing,"Multifamily Housing, Retail Store",Multifamily Housing,104500,Retail Store,10500,Not Available,Not Available,1923,1,100,Whole Building,Whole Building,85,90.1,5.4,Not Available,129.9,Not Available,Not Available,7617404.1,Not Available,Not Available,Not Available,Not Available,Not Available,2157817.6,615783.2,773.8,573.5,200.2,115000,10317.1,89.71,125.8,05/01/2017 02:58:14 PM,No,In Compliance,40.761292,-73.986842,4,3,127,Clinton                                                                    
2869,4043778,Hilton Hampton Inn - Times Square,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1010427501,1-01042-7501,1025211,851 8th Ave,Not Available,10019,851,8 AVENUE,Manhattan,264932,Hotel,"Hotel, Parking",Hotel,164932,Parking,100000,Not Available,Not Available,1962,1,100,Whole Building,Whole Building,107.5,106.6,13,0,202.3,Not Available,Not Available,1.02E+07,Not Available,Not Available,Not Available,49397,513.2,7465920.8,2145649.1,1464.7,771.9,692.8,164932,12753,77.32,205,04/25/2017 11:09:30 AM,No,In Compliance,40.763059,-73.985557,4,3,133,Clinton                                                                    
2871,2632856,TIMES CIRCLE ASSOCIATES,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1010430013,1-01043-0013,1025240,333 WEST 52nd STREET,Not Available,10019,333,WEST 52 STREET,Manhattan,90000,Office,Office,Office,102513,Not Available,Not Available,Not Available,Not Available,1929,1,100,Whole Building,Not Available,91.7,99.3,13.6,0,199.4,Not Available,4539310.6,Not Available,Not Available,Not Available,Not Available,6069.7,71,4857691.4,1397545.8,788,337.2,450.8,102513,1810.5,17.66,193.6,04/12/2017 10:18:49 AM,Yes,In Compliance,40.764004,-73.986264,4,3,133,Clinton                                                                    
2878,4312804,HFZ 301 West 53rd St,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1010447501,1-01044-7501,1025400,301 West 53rd Street,Not Available,10019,301,WEST 53 STREET,Manhattan,333966,Multifamily Housing,"Multifamily Housing, Other, Parking, Restaurant, Supermarket/Grocery Store",Multifamily Housing,323329,Parking,10000,Supermarket/Grocery Store,8876,1979,1,100,Whole Building,Whole Building,75.8,81.3,7.8,0.1,139.2,Not Available,1.35E+07,Not Available,Not Available,Not Available,Not Available,2928609.1,29286.1,9191667.2,2638398.6,2011.8,1158.8,853,338080,Not Available,Not Available,134.9,04/13/2017 12:13:23 PM,Yes,In Compliance,40.764357,-73.985156,4,3,133,Clinton                                                                    
2882,2715785,340 Owners Corp.,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1010450051,1010450051,1025419,340 West 55th Street,Not Available,10019,340,WEST 55 STREET,Manhattan,65750,Multifamily Housing,Multifamily Housing,Multifamily Housing,65750,Not Available,Not Available,Not Available,Not Available,1924,1,100,Whole Building,Not Available,69.5,74,5.1,0.6,114.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3389300.1,37119.3,1179426.1,337926.2,289.5,180,109.5,65750,2813.2,42.79,110.5,04/28/2017 06:56:15 PM,Yes,In Compliance,40.765933,-73.985065,4,3,139,Clinton                                                                    
2885,2894314,Pembroke Owners Inc,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1010460001,1-01046-0001,1025422,357 West 55th Street,Not Available,10019,357,WEST 55 STREET,Manhattan,70507,Multifamily Housing,"Bank Branch, Multifamily Housing, Other",Multifamily Housing,68448,Other,1059,Bank Branch,1000,1935,1,100,Whole Building,Whole Building,82.2,87.5,6.6,0,136.4,Not Available,4031118.2,Not Available,Not Available,Not Available,Not Available,143209.1,1448.5,1620017.6,465489.7,457.1,306.8,150.3,70507,2259.4,32.05,132,05/02/2017 02:30:56 PM,Yes,In Compliance,40.766084,-73.985379,4,3,139,Clinton                                                                    
2892,2797740,Parc Vendome 333 W 56th; 340 W57th Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1010477501,1010477501,1087148;1083734,333 W 56th; 353 W 56th; 340 W57th; 350 W 57th,Not Available,10019,340,WEST 57 STREET,Manhattan,1248748,Multifamily Housing,Multifamily Housing,Multifamily Housing,577881,Not Available,Not Available,Not Available,Not Available,1904,1,100,Whole Building,Whole Building,79.6,Not Available,5,0.5,Not Available,Not Available,1.05E+07,Not Available,Not Available,Not Available,Not Available,25407176,279102.4,10128027.1,2867111.9,3066,2126.1,939.9,577881,Not Available,Not Available,119.5,05/01/2017 10:59:39 PM,Yes,In Compliance,40.767231,-73.984119,4,3,139,Clinton                                                                    
2893,2811991,Hearst Tower LL84,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1010477502,1010477502,1025451,300 West 57th Street,Not Available,10019,959,8 AVENUE,Manhattan,870000,Office,"Data Center, Office, Other",Office,829126,Other,14874,Data Center,12000,2006,1,100,Whole Building,Not Available,83.4,85.7,17.6,0,219.1,Not Available,Not Available,Not Available,Not Available,Not Available,1.78E+07,1704186,17041.9,51914260.9,1.51E+07,6087,90.5,5996.5,856000,Not Available,Not Available,217.5,05/04/2017 11:58:13 AM,Yes,In Compliance,40.766421,-73.983101,4,3,139,Clinton                                                                    
2898,4952005,AKAM - 347 West 57th Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1010487501,1-01048-7501,1026058,347 West 57th Street,Not Available,10019,347,WEST 57 STREET,Manhattan,266115,Multifamily Housing,Multifamily Housing,Multifamily Housing,237468,Not Available,Not Available,Not Available,Not Available,1982,1,100,Whole Building,Not Available,115.9,122.3,7.6,1,182.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.11E+07,228680.9,6407331.4,1807368.6,1716.1,1121.5,594.6,237468,Not Available,Not Available,178.1,05/01/2017 01:01:42 PM,Yes,In Compliance,40.767297,-73.984231,4,3,139,Clinton                                                                    
2899,4046260,Hudson NY Hotel,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1010487502,1-01048-7502,1026317,356 W 58th Street,Not Available,10019,353,WEST 57 STREET,Manhattan,445975,Hotel,Hotel,Hotel,600695,Not Available,Not Available,Not Available,Not Available,1927,1,90,Whole Building,Whole Building,124.3,128.2,13.1,0.8,228,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4.72E+07,501546.7,27442523.2,7866263.1,5054.6,2508,2546.7,600695,Not Available,Not Available,226,05/01/2017 05:21:42 PM,Yes,In Compliance,40.767349,-73.98435,4,3,139,Clinton                                                                    
2911,2728991,420 West 45th,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1010540041,1-01054-0041,1083762,420 West 45th Street,Not Available,10036,420,WEST 45 STREET,Manhattan,59152,Office,Office,Office,65000,Not Available,Not Available,Not Available,Not Available,1918,1,100,Whole Building,Not Available,75,76.2,16.3,0,195.3,Not Available,Not Available,1169606,Not Available,Not Available,Not Available,153380.6,1747.4,3549208.1,1057218.4,425.6,96.2,329.4,65000,304.7,4.69,192.1,04/14/2017 02:17:11 PM,No,In Compliance,40.760743,-73.992174,4,3,121,Clinton                                                                    
